bucket,mean_x,mean_ret,n,bucket_label,bucket_idx,horizon
"(49999999.999, 120000000.0]",81414881.62344983,0.0012460438815850223,887,"(49999999.999, 120000000.0]",0,5
"(49999999.999, 120000000.0]",81414881.62344983,0.002493901705221432,887,"(49999999.999, 120000000.0]",0,10
"(49999999.999, 120000000.0]",81414881.62344983,0.0021198399413206487,887,"(49999999.999, 120000000.0]",0,20
"(120000000.0, 320000000.0]",249485294.11764705,0.001638819045889769,816,"(120000000.0, 320000000.0]",1,5
"(120000000.0, 320000000.0]",249485294.11764705,0.0030813750104526643,816,"(120000000.0, 320000000.0]",1,10
"(120000000.0, 320000000.0]",249485294.11764705,0.0037676019657285663,816,"(120000000.0, 320000000.0]",1,20
"(320000000.0, 500000000.0]",450953206.2391681,0.0011300601587103819,577,"(320000000.0, 500000000.0]",2,5
"(320000000.0, 500000000.0]",450953206.2391681,0.0026320910119986647,577,"(320000000.0, 500000000.0]",2,10
"(320000000.0, 500000000.0]",450953206.2391681,0.0035644301602969913,577,"(320000000.0, 500000000.0]",2,20
"(500000000.0, 800000000.0]",725500000.0,0.0012301164031409287,600,"(500000000.0, 800000000.0]",3,5
"(500000000.0, 800000000.0]",725500000.0,0.002339509393145384,600,"(500000000.0, 800000000.0]",3,10
"(500000000.0, 800000000.0]",725500000.0,0.002561031639649812,600,"(500000000.0, 800000000.0]",3,20
