feature,dtype_train,dtype_test,n_train_rows,n_test_rows,n_train_nonnull,n_test_nonnull,train_nonnull_rate,test_nonnull_rate,train_missing_rate,test_missing_rate,train_nunique,test_nunique,train_is_constant,test_is_constant,train_zero_rate,test_zero_rate,train_mean,test_mean,train_std,test_std,train_min,test_min,train_max,test_max,mean_shift_sigma,abs_mean_shift_sigma,median_shift_iqr,abs_median_shift_iqr,std_ratio_test_over_train,iqr_ratio_test_over_train,ks_stat,ks_pvalue,wasserstein,psi,drift_flag,drift_reasons,drift_score,train_q01,test_q01,train_q05,test_q05,train_q25,test_q25,train_q50,test_q50,train_q75,test_q75,train_q95,test_q95,train_q99,test_q99,similarity_score
history_length,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,1.0,1.0,True,True,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0
t14_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.794,0.7963,0.225,0.2257,0.46323815644826755,0.47093703206354126,0.0,0.0,3.0,4.0,0.0015111017740108551,0.0015111017740108551,0.0,0.0,1.0166196922837398,0.0,0.0026,1.0,0.00529999999999986,3.4769894804357534e-05,False,,0.004145871668815212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9958712456170088
t48_amplitude_sum_weighted,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,22.0,53.0,False,False,0.978,0.9765,0.00460813605869205,0.004584242687016155,0.036354886217415776,0.03561062176607525,0.0,0.0,0.4729571339543155,0.5,-0.0006572258686864287,0.0006572258686864287,0.0,0.0,0.9795278013560798,0.0,0.0027,1.0,0.0004205510175466161,0.004180618058013321,False,,0.00753784392669975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22477967000172963,0.18393972058572117,0.992518550075179
t46_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,3.0,False,False,0.978,0.9765,0.023,0.0238,0.15651036865171425,0.15438893611382726,0.0,0.0,2.0,2.0,0.00511148243331499,0.00511148243331499,0.0,0.0,0.9864454185550204,0.0,0.0015,1.0,0.0021999999999999797,0.0010642689926927311,False,,0.007675751426007722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9923827169452619
t48_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,3.0,False,False,0.978,0.9765,0.024,0.0237,0.16568479547457413,0.153429671401612,0.0,0.0,2.0,2.0,-0.0018106670508835482,0.0018106670508835482,0.0,0.0,0.9260335021159571,0.0,0.0018,1.0,0.0032999999999999696,0.0046509351341246985,False,,0.008261602185008246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9918060926181217
t40_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,2.0,False,False,0.977,0.9781,0.023,0.0219,0.1499783100768024,0.1463643817778947,0.0,0.0,1.0,1.0,-0.007334393882884577,0.007334393882884577,0.0,0.0,0.9759036603490668,0.0,0.0011,1.0,0.0010999999999999899,5.514612549639488e-05,False,,0.008489540008380972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9915819255712753
t5_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.786,0.789,0.238,0.2393,0.4874357327828907,0.49321378324576287,0.0,0.0,3.0,4.0,0.0026670182601823958,0.0026670182601823958,0.0,0.0,1.011853973915437,0.0,0.0061,1.0,0.011099999999999999,5.6656387938131984e-05,False,,0.008823674648120528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9912535016080009
t36_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,4.0,False,False,0.872,0.8726,0.135,0.1375,0.3618092120246608,0.3739087198409223,0.0,0.0,2.0,3.0,0.006909719036735563,0.006909719036735563,0.0,0.0,1.0334416797944972,0.0,0.0026,1.0,0.0037000000000000366,9.659029629892544e-06,False,,0.009519378066365457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9905703859943741
t40_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,23.0,49.0,False,False,0.001,0.0003,49.431,49.4366,4.2302640738060475,4.3373795921238685,0.0,0.0,50.0,50.0,0.001323794425666058,0.001323794425666058,0.0,0.0,1.0253212367946622,0.0,0.0035,1.0,0.0466,0.004743734813398877,False,,0.009567529239064934,23.97,21.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9905231408875876
t18_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.795,0.7919,0.232,0.2353,0.48415948860929126,0.4871936429845698,0.0,0.0,3.0,3.0,0.006815935817910257,0.006815935817910257,0.0,0.0,1.0062668489323376,0.0,0.0031,1.0,0.0039000000000000146,5.863881786735178e-05,False,,0.00997457463577761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.990123934912545
