feature,dtype_train,dtype_test,n_train_rows,n_test_rows,n_train_nonnull,n_test_nonnull,train_nonnull_rate,test_nonnull_rate,train_missing_rate,test_missing_rate,train_nunique,test_nunique,train_is_constant,test_is_constant,train_zero_rate,test_zero_rate,train_mean,test_mean,train_std,test_std,train_min,test_min,train_max,test_max,mean_shift_sigma,abs_mean_shift_sigma,median_shift_iqr,abs_median_shift_iqr,std_ratio_test_over_train,iqr_ratio_test_over_train,ks_stat,ks_pvalue,wasserstein,psi,drift_flag,drift_reasons,drift_score,train_q01,test_q01,train_q05,test_q05,train_q25,test_q25,train_q50,test_q50,train_q75,test_q75,train_q95,test_q95,train_q99,test_q99,similarity_score
history_length,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,1.0,1.0,True,True,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0
t12_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,4.0,False,False,0.789,0.793,0.23,0.2298,0.4640208134505556,0.4743568924830171,0.0,0.0,2.0,3.0,-0.0004310151488945786,0.0004310151488945786,0.0,0.0,1.022275033213657,0.0,0.004,1.0,0.007799999999999918,0.00014863287055209403,False,,0.004579648019446673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9954412295446403
t36_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,4.0,False,False,0.872,0.871,0.135,0.1367,0.3618092120246608,0.3658230346072605,0.0,0.0,2.0,3.0,0.004698608944980122,0.004698608944980122,0.0,0.0,1.0110937545208634,0.0,0.001,1.0,0.0016999999999999238,6.0924926624847235e-06,False,,0.005704701437642607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9943276575823025
t27_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,4.0,False,False,0.835,0.8322,0.183,0.1844,0.43554643920103475,0.4310628974084318,0.0,0.0,3.0,3.0,0.00321435299199083,0.00321435299199083,0.0,0.0,0.9897059385864404,0.0,0.0028,1.0,0.0041999999999999815,5.652149561671051e-05,False,,0.00607087448760754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9939657586343513
t40_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,2.0,3.0,False,False,0.977,0.9775,0.023,0.0227,0.1499783100768024,0.15028961606468252,0.0,0.0,1.0,2.0,-0.00200028924078669,0.00200028924078669,0.0,0.0,1.0020756733871625,0.0,0.0005,1.0,0.0007000000000000339,0.003844656661921157,False,,0.006344945902707847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9936950586093357
t5_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.786,0.7888,0.238,0.2363,0.4874357327828907,0.48444378268056837,0.0,0.0,3.0,4.0,-0.0034876392633153355,0.0034876392633153355,0.0,0.0,0.9938618572622192,0.0,0.0032,1.0,0.008299999999999863,4.9517076165350537e-05,False,,0.006737156339480686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9933079291878159
t14_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,4.0,5.0,False,False,0.794,0.799,0.225,0.2241,0.46323815644826755,0.4727594950437436,0.0,0.0,3.0,4.0,-0.001942845138013965,0.001942845138013965,0.0,0.0,1.020553873772958,0.0,0.005,1.0,0.009099999999999886,0.00016431105902752768,False,,0.007107156197041492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.9929429990112681
t46_count_total,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,3.0,3.0,False,False,0.978,0.9763,0.023,0.0239,0.15651036865171425,0.1540492230305354,0.0,0.0,2.0,2.0,0.005750417737479359,0.005750417737479359,0.0,0.0,0.9842748717330033,0.0,0.0017,1.0,0.0025000000000000577,0.0015717028699794317,False,,0.00902212060745879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9910585502307648
t40_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,23.0,50.0,False,False,0.001,0.0008,49.431,49.4322,4.2302640738060475,4.382433539983605,0.0,0.0,50.0,50.0,0.00028367023407225797,0.00028367023407225797,0.0,0.0,1.035971623407333,0.0,0.0034,1.0,0.04659999999999999,0.005396661314282773,False,,0.00908033154835503,23.97,21.99000000000001,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9910013789145786
t27_recency,float64,float64,1000.0,10000.0,1000.0,10000.0,1.0,1.0,0.0,0.0,50.0,51.0,False,False,0.004,0.0038,45.559,45.514,11.519949141737921,11.598648924150027,0.0,0.0,50.0,50.0,-0.003906267245308508,0.003906267245308508,0.0,0.0,1.0068316084943432,0.0,0.0057,1.0,0.08939999999999991,2.821773463361521e-06,False,,0.009609089018771869,2.0,2.0,13.950000000000003,13.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.9904823667662195
